"Country","Region","Happiness Rank","Happiness Score","Economy (GDP per Capita)","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Year","Hapinness State"
"Burkina Faso","Sub-Saharan Africa","145","3.739","0.31995","0.63054","0.21297","0.3337","0.12533","0.24353","1.87319","2016","Happy"
"Burkina Faso","Sub-Saharan Africa","134","4.0320000648498","0.3502277135849","1.043280005455","0.21584425866604","0.32436785101891","0.12032810598612","0.25086468458176","1.7272129058838","2017","Happy"
"Burundi","Sub-Saharan Africa","157","2.905","0.0153","0.41587","0.22396","0.1185","0.10062","0.19727","1.83302","2015","Unhappy"
"Burundi","Sub-Saharan Africa","157","2.905","0.06831","0.23442","0.15747","0.0432","0.09419","0.2029","2.10404","2016","Unhappy"
"Burundi","Sub-Saharan Africa","154","2.9049999713898","0.091622568666935","0.62979358434677","0.1516107916832","0.059900753200054","0.084147945046425","0.20443518459797","1.6830241680145","2017","Unhappy"
"Cambodia","Southeastern Asia","145","3.819","0.46038","0.62736","0.61114","0.66246","0.07247","0.40359","0.98195","2015","Happy"
"Cambodia","Southeastern Asia","140","3.907","0.55604","0.5375","0.42494","0.58852","0.08092","0.40339","1.31573","2016","Happy"
"Cambodia","Southeastern Asia","129","4.1680002212524","0.60176509618759","1.0062383413315","0.42978340387344","0.63337582349777","0.068105950951576","0.3859229683876","1.0429410934448","2017","Happy"
"Cameroon","Sub-Saharan Africa","133","4.252","0.4225","0.88767","0.23402","0.49309","0.05786","0.20618","1.95071","2015","Happy"
"Cameroon","Sub-Saharan Africa","114","4.513","0.52497","0.62542","0.12698","0.42736","0.06126","0.2268","2.5198","2016","Happy"
"Cameroon","Sub-Saharan Africa","107","4.6950001716614","0.5643053650856","0.94601821899414","0.13289211690426","0.43038874864578","0.051306631416082","0.23629845678806","2.3336455821991","2017","Happy"
"Canada","North America","5","7.427","1.32629","1.32261","0.90563","0.63297","0.32957","0.45811","2.45176","2015","Very Happy"
"Canada","North America","6","7.404","1.44015","1.0961","0.8276","0.5737","0.31329","0.44834","2.70485","2016","Very Happy"
"Canada","North America","7","7.3159999847412","1.479204416275","1.481348991394","0.83455765247345","0.61110091209412","0.28737151622772","0.43553972244263","2.1872644424438","2017","Very Happy"
"Central African Republic","Sub-Saharan Africa","148","3.678","0.0785","0","0.06699","0.48879","0.08289","0.23835","2.7223","2015","Happy"
"Central African Republic","Sub-Saharan Africa","155","2.6930000782013","0","0","0.01877268590033","0.27084204554558","0.056565076112747","0.28087648749352","2.0660047531128","2017","Unhappy"
"Chad","Sub-Saharan Africa","149","3.667","0.34193","0.76062","0.1501","0.23501","0.05269","0.18386","1.94296","2015","Happy"
"Chad","Sub-Saharan Africa","144","3.763","0.42214","0.63178","0.03824","0.12807","0.04952","0.18667","2.30637","2016","Happy"
"Chad","Sub-Saharan Africa","137","3.9360001087189","0.43801298737526","0.95385587215424","0.041134715080261","0.16234202682972","0.05358188226819","0.21611385047436","2.0712380409241","2017","Happy"
"Chile","Latin America and Caribbean","27","6.67","1.10715","1.12447","0.85857","0.44132","0.12869","0.33363","2.67585","2015","Very Happy"
"Chile","Latin America and Caribbean","24","6.705","1.2167","0.90587","0.81883","0.37789","0.11451","0.31595","2.95505","2016","Very Happy"
"Chile","Latin America and Caribbean","20","6.6519999504089","1.2527846097946","1.2840249538422","0.8194797039032","0.37689527869224","0.082287982106209","0.3266624212265","2.5095858573914","2017","Very Happy"
"China","Eastern Asia","84","5.14","0.89012","0.94675","0.81658","0.51697","0.02781","0.08185","1.8604","2015","Happy"
"China","Eastern Asia","83","5.245","1.0278","0.79381","0.73561","0.44012","0.02745","0.04959","2.17087","2016","Happy"
"China","Eastern Asia","79","5.2729997634888","1.0811657905579","1.1608374118805","0.74141550064087","0.47278770804405","0.022794274613261","0.028806841000915","1.7649385929108","2017","Happy"
"Colombia","Latin America and Caribbean","33","6.477","0.91861","1.24018","0.69077","0.53466","0.0512","0.18401","2.85737","2015","Happy"
"Colombia","Latin America and Caribbean","31","6.481","1.03032","1.02169","0.59659","0.44735","0.05399","0.15626","3.17471","2016","Happy"
"Colombia","Latin America and Caribbean","36","6.356999874115","1.0706223249435","1.4021829366684","0.59502792358398","0.4774874150753","0.046668741852045","0.14901447296143","2.6160681247711","2017","Happy"
"Comoros","Sub-Saharan Africa","140","3.956","0.23906","0.79273","0.36315","0.22917","0.199","0.17441","1.95812","2015","Happy"
"Comoros","Sub-Saharan Africa","138","3.956","0.27509","0.60323","0.29981","0.15412","0.18437","0.1827","2.25632","2016","Happy"
"Congo (Brazzaville)","Sub-Saharan Africa","139","3.989","0.67866","0.6629","0.31051","0.41466","0.11686","0.12388","1.68135","2015","Happy"
"Congo (Brazzaville)","Sub-Saharan Africa","127","4.236","0.77109","0.47799","0.28212","0.37938","0.09753","0.12077","2.10681","2016","Happy"
"Congo (Brazzaville)","Sub-Saharan Africa","124","4.2909998893738","0.80896425247192","0.83204436302185","0.28995743393898","0.43502587080002","0.079618133604527","0.12085212767124","1.7241356372833","2017","Happy"
"Congo (Kinshasa)","Sub-Saharan Africa","120","4.517","0","1.0012","0.09806","0.22605","0.07625","0.24834","2.86712","2015","Happy"
"Congo (Kinshasa)","Sub-Saharan Africa","125","4.272","0.05661","0.80676","0.188","0.15602","0.06075","0.25458","2.74924","2016","Happy"
"Congo (Kinshasa)","Sub-Saharan Africa","126","4.2800002098083","0.092102348804474","1.2290234565735","0.19140702486038","0.23596134781837","0.060241356492042","0.24645583331585","2.2249586582184","2017","Happy"
"Costa Rica","Latin America and Caribbean","12","7.226","0.95578","1.23788","0.86027","0.63376","0.10583","0.25497","3.17728","2015","Very Happy"
"Costa Rica","Latin America and Caribbean","14","7.087","1.06879","1.02152","0.76146","0.55225","0.10547","0.22553","3.35168","2016","Very Happy"
"Costa Rica","Latin America and Caribbean","12","7.0789999961853","1.1097062826157","1.4164036512375","0.75950926542282","0.58013164997101","0.10010658949614","0.21461322903633","2.8986392021179","2017","Very Happy"
"Croatia","Central and Eastern Europe","62","5.759","1.08254","0.79624","0.78805","0.25883","0.0243","0.05444","2.75414","2015","Happy"
"Croatia","Central and Eastern Europe","74","5.488","1.18649","0.60809","0.70524","0.23907","0.04002","0.18434","2.52462","2016","Happy"
"Croatia","Central and Eastern Europe","77","5.2930002212524","1.2225562334061","0.96798300743103","0.70128852128982","0.25577229261398","0.043103110045195","0.24800297617912","1.8544924259186","2017","Happy"
"Cyprus","Western Europe","67","5.689","1.20813","0.89318","0.92356","0.40672","0.06146","0.30638","1.88931","2015","Happy"
"Cyprus","Western Europe","69","5.546","1.31857","0.70697","0.8488","0.29507","0.05228","0.27906","2.04497","2016","Happy"
"Cyprus","Western Europe","65","5.6209998130798","1.355938076973","1.1313632726669","0.84471470117569","0.35511153936386","0.041237976402044","0.27125430107117","1.6212491989136","2017","Happy"
"Czech Republic","Central and Eastern Europe","31","6.505","1.17898","1.20643","0.84483","0.46364","0.02652","0.10686","2.67782","2015","Happy"
"Czech Republic","Central and Eastern Europe","27","6.596","1.30915","1.00793","0.76376","0.41418","0.03986","0.09929","2.96211","2016","Happy"
"Czech Republic","Central and Eastern Europe","23","6.6090002059936","1.352682352066","1.433885216713","0.75444400310516","0.49094617366791","0.036872927099466","0.088106758892536","2.4518618583679","2017","Very Happy"
"Denmark","Western Europe","3","7.527","1.32548","1.36058","0.87464","0.64938","0.48357","0.34139","2.49204","2015","Very Happy"
"Denmark","Western Europe","1","7.526","1.44178","1.16374","0.79504","0.57941","0.44453","0.36171","2.73939","2016","Very Happy"
"Denmark","Western Europe","2","7.521999835968","1.4823830127716","1.5511215925217","0.79256552457809","0.62600672245026","0.40077006816864","0.35528048872948","2.3137073516846","2017","Very Happy"
"Djibouti","Sub-Saharan Africa","126","4.369","0.44025","0.59207","0.36291","0.46074","0.28105","0.18093","2.05125","2015","Happy"
"Dominican Republic","Latin America and Caribbean","98","4.885","0.89537","1.17202","0.66825","0.57672","0.14234","0.21684","1.21305","2015","Happy"
"Dominican Republic","Latin America and Caribbean","89","5.155","1.02787","0.99496","0.57669","0.52259","0.12372","0.21286","1.69626","2016","Happy"
"Dominican Republic","Latin America and Caribbean","86","5.2300000190735","1.0793738365173","1.4024167060852","0.57487374544144","0.55258983373642","0.11394525319338","0.18696784973145","1.3194651603699","2017","Happy"
"Ecuador","Latin America and Caribbean","48","5.975","0.86402","0.99903","0.79075","0.48574","0.1809","0.11541","2.53942","2015","Happy"
"Ecuador","Latin America and Caribbean","51","5.976","0.97306","0.85974","0.68613","0.4027","0.18037","0.10074","2.77366","2016","Happy"
"Ecuador","Latin America and Caribbean","44","6.0079998970032","1.0008203983307","1.2861688137054","0.68563622236252","0.4551981985569","0.14013464748859","0.15011246502399","2.2903525829315","2017","Happy"
"Egypt","Middle East and Northern Africa","135","4.194","0.8818","0.747","0.61712","0.17288","0.06324","0.11291","1.59927","2015","Happy"
"Egypt","Middle East and Northern Africa","120","4.362","0.95395","0.49813","0.52116","0.18847","0.10393","0.12706","1.96895","2016","Happy"
"Egypt","Middle East and Northern Africa","104","4.7350001335144","0.98970180749893","0.99747139215469","0.5201872587204","0.28211015462875","0.11438136547804","0.12863144278526","1.7021610736847","2017","Happy"
"El Salvador","Latin America and Caribbean","42","6.13","0.76454","1.02507","0.67737","0.4035","0.11776","0.10692","3.035","2015","Happy"
"El Salvador","Latin America and Caribbean","46","6.068","0.8737","0.80975","0.596","0.37269","0.10613","0.08877","3.22134","2016","Happy"
"El Salvador","Latin America and Caribbean","45","6.0029997825623","0.90978449583054","1.1821250915527","0.59601855278015","0.43245252966881","0.089980959892273","0.078257985413074","2.7145938873291","2017","Happy"
"Estonia","Central and Eastern Europe","73","5.429","1.15174","1.22791","0.77361","0.44888","0.15184","0.0868","1.58782","2015","Happy"
"Estonia","Central and Eastern Europe","72","5.517","1.27964","1.05163","0.68098","0.41511","0.18519","0.08423","1.81985","2016","Happy"
"Estonia","Central and Eastern Europe","66","5.6110000610352","1.3208793401718","1.4766710996628","0.69516831636429","0.4791314303875","0.18324892222881","0.09889081120491","1.3575086593628","2017","Happy"
"Ethiopia","Sub-Saharan Africa","122","4.512","0.19073","0.60406","0.44055","0.4345","0.15048","0.24325","2.44876","2015","Happy"
"Ethiopia","Sub-Saharan Africa","115","4.508","0.29283","0.37932","0.34578","0.36703","0.1717","0.29522","2.65614","2016","Happy"
"Ethiopia","Sub-Saharan Africa","119","4.460000038147","0.33923384547234","0.86466920375824","0.35340970754623","0.40884274244308","0.16545571386814","0.31265074014664","2.0157437324524","2017","Happy"
"Finland","Western Europe","6","7.406","1.29025","1.31826","0.88911","0.64169","0.41372","0.23351","2.61955","2015","Very Happy"
"Finland","Western Europe","5","7.413","1.40598","1.13464","0.81091","0.57104","0.41004","0.25492","2.82596","2016","Very Happy"
"Finland","Western Europe","5","7.4689998626709","1.4435719251633","1.5402467250824","0.80915766954422","0.61795085668564","0.38261154294014","0.24548277258873","2.4301815032959","2017","Very Happy"
"France","Western Europe","29","6.575","1.27778","1.26038","0.94579","0.55011","0.20646","0.12332","2.21126","2015","Happy"
"France","Western Europe","32","6.478","1.39488","1.00508","0.83795","0.46562","0.17808","0.1216","2.4744","2016","Happy"
"France","Western Europe","31","6.441999912262","1.4309234619141","1.3877768516541","0.84446585178375","0.47022211551666","0.17250242829323","0.12976230680942","2.0059547424316","2017","Happy"
"Gabon","Sub-Saharan Africa","143","3.896","1.06024","0.90528","0.43372","0.31914","0.11091","0.06822","0.99895","2015","Happy"
"Gabon","Sub-Saharan Africa","134","4.121","1.15851","0.72368","0.3494","0.28098","0.09314","0.06244","1.45332","2016","Happy"
"Gabon","Sub-Saharan Africa","118","4.4650001525879","1.1982102394104","1.1556202173233","0.35657858848572","0.31232857704163","0.076046787202358","0.043785378336906","1.3229162693024","2017","Happy"
"Georgia","Central and Eastern Europe","130","4.297","0.7419","0.38562","0.72926","0.40577","0.38331","0.05547","1.59541","2015","Happy"
"Georgia","Central and Eastern Europe","126","4.252","0.83792","0.19249","0.64035","0.32461","0.3188","0.06786","1.87031","2016","Happy"
"Georgia","Central and Eastern Europe","125","4.2859997749329","0.95061266422272","0.57061493396759","0.64954698085785","0.3094100356102","0.25166663527489","0.054008815437555","1.5001378059387","2017","Happy"
"Germany","Western Europe","26","6.75","1.32792","1.29937","0.89186","0.61477","0.21843","0.28214","2.11569","2015","Very Happy"
"Germany","Western Europe","16","6.994","1.44787","1.09774","0.81487","0.53466","0.28551","0.30452","2.50931","2016","Very Happy"
"Germany","Western Europe","16","6.9510002136231","1.4879233837128","1.4725203514099","0.7989507317543","0.56251138448715","0.2767319381237","0.33626917004585","2.0157699584961","2017","Very Happy"
"Ghana","Sub-Saharan Africa","114","4.633","0.54558","0.67954","0.40132","0.42342","0.04355","0.23087","2.30919","2015","Happy"
"Ghana","Sub-Saharan Africa","124","4.276","0.63107","0.49353","0.29681","0.40973","0.0326","0.21203","2.2002","2016","Happy"
"Ghana","Sub-Saharan Africa","131","4.1199998855591","0.66722482442856","0.87366473674774","0.29563772678375","0.42302629351616","0.025336369872093","0.25692394375801","1.5778675079346","2017","Happy"
"Greece","Western Europe","102","4.857","1.15406","0.92933","0.88213","0.07699","0.01397","0","1.80101","2015","Happy"
"Greece","Western Europe","99","5.033","1.24886","0.75473","0.80029","0.05822","0.04127","0","2.12944","2016","Happy"
"Greece","Western Europe","87","5.2270002365112","1.2894874811173","1.2394145727158","0.8101989030838","0.095731250941753","0.04328977689147","0","1.7492215633392","2017","Happy"
"Guatemala","Latin America and Caribbean","43","6.123","0.74553","1.04356","0.64425","0.57733","0.09472","0.27489","2.74255","2015","Happy"
"Guatemala","Latin America and Caribbean","39","6.324","0.83454","0.87119","0.54039","0.50379","0.08701","0.28808","3.19863","2016","Happy"
"Guatemala","Latin America and Caribbean","29","6.4539999961853","0.87200194597244","1.255585193634","0.54023998975754","0.53131061792374","0.077223278582096","0.2834883928299","2.8938910961151","2017","Happy"
"Guinea","Sub-Saharan Africa","150","3.656","0.17417","0.46475","0.24009","0.37725","0.12139","0.28657","1.99172","2015","Happy"
"Guinea","Sub-Saharan Africa","151","3.607","0.22415","0.3109","0.18829","0.30953","0.1192","0.29914","2.15604","2016","Happy"
"Guinea","Sub-Saharan Africa","149","3.5069999694824","0.24454993009567","0.79124468564987","0.19412913918495","0.34858751296997","0.11093761771917","0.26481509208679","1.5523118972778","2017","Happy"
"Haiti","Latin America and Caribbean","119","4.518","0.26673","0.74302","0.38847","0.24425","0.17175","0.46187","2.24173","2015","Happy"
"Haiti","Latin America and Caribbean","136","4.028","0.34097","0.29561","0.27494","0.12072","0.14476","0.47958","2.37116","2016","Happy"
"Haiti","Latin America and Caribbean","145","3.6029999256134","0.36861026287079","0.64044982194901","0.27732113003731","0.03036985732615","0.099872149527073","0.48920378088951","1.697167634964","2017","Happy"
"Honduras","Latin America and Caribbean","105","4.788","0.59532","0.95348","0.6951","0.40148","0.06825","0.23027","1.84408","2015","Happy"
"Honduras","Latin America and Caribbean","104","4.871","0.69429","0.75596","0.58383","0.26755","0.06906","0.2044","2.29551","2016","Happy"
"Honduras","Latin America and Caribbean","91","5.1810002326965","0.730573117733","1.143944978714","0.58256947994232","0.34807986021042","0.073345452547073","0.23618887364864","2.0658111572266","2017","Happy"
"Hong Kong","Eastern Asia","72","5.474","1.38604","1.05818","1.01328","0.59608","0.37124","0.39478","0.65429","2015","Happy"
"Hong Kong","Eastern Asia","75","5.458","1.5107","0.87021","0.95277","0.48079","0.31647","0.40097","0.92614","2016","Happy"
"Hong Kong S.A.R., China","Eastern Asia","71","5.4720001220703","1.5516748428345","1.2627909183502","0.94306242465973","0.49096864461899","0.29393374919891","0.3744657933712","0.55463314056396","2017","Happy"
"Hungary","Central and Eastern Europe","104","4.8","1.12094","1.20215","0.75905","0.32112","0.02758","0.128","1.24074","2015","Happy"
"Hungary","Central and Eastern Europe","91","5.145","1.24142","0.93164","0.67608","0.1977","0.04472","0.099","1.95473","2016","Happy"
"Hungary","Central and Eastern Europe","75","5.3239998817444","1.2860119342804","1.3431330919266","0.68776345252991","0.17586351931095","0.036636937409639","0.078401662409306","1.716459274292","2017","Happy"
"Iceland","Western Europe","2","7.561","1.30232","1.40223","0.94784","0.62877","0.14145","0.4363","2.70201","2015","Very Happy"
"Iceland","Western Europe","3","7.501","1.42666","1.18326","0.86733","0.56624","0.14975","0.47678","2.83137","2016","Very Happy"
"Iceland","Western Europe","3","7.5040001869202","1.480633020401","1.6105740070343","0.83355212211609","0.62716263532639","0.15352655947208","0.47554022073746","2.3227152824402","2017","Very Happy"
"India","Southern Asia","117","4.565","0.64499","0.38174","0.51529","0.39786","0.08492","0.26475","2.27513","2015","Happy"
"India","Southern Asia","118","4.404","0.74036","0.29247","0.45091","0.40285","0.08722","0.25028","2.18032","2016","Happy"
"India","Southern Asia","122","4.3150000572205","0.79222124814987","0.75437259674072","0.45542761683464","0.46998700499535","0.092226885259152","0.23153848946094","1.5191171169281","2017","Happy"
"Indonesia","Southeastern Asia","74","5.399","0.82827","1.08708","0.63793","0.46611","0","0.51535","1.86399","2015","Happy"
"Indonesia","Southeastern Asia","79","5.314","0.95104","0.87625","0.49374","0.39237","0.00322","0.56521","2.03171","2016","Happy"
"Indonesia","Southeastern Asia","81","5.2620000839233","0.99553859233856","1.2744446992874","0.49234572052956","0.44332346320152","0.015317135490477","0.6117045879364","1.4294769763946","2017","Happy"
"Iran","Middle East and Northern Africa","110","4.686","1.0088","0.54447","0.69805","0.30033","0.05863","0.38086","1.6944","2015","Happy"
"Iran","Middle East and Northern Africa","105","4.813","1.11758","0.38857","0.64232","0.22544","0.0557","0.38538","1.99817","2016","Happy"
"Iran","Middle East and Northern Africa","108","4.691999912262","1.1568731069565","0.71155124902725","0.63933318853378","0.24932260811329","0.048761073499918","0.38724291324616","1.4987349510193","2017","Happy"
"Iraq","Middle East and Northern Africa","112","4.677","0.98549","0.81889","0.60237","0","0.13788","0.17922","1.95335","2015","Happy"
"Iraq","Middle East and Northern Africa","112","4.575","1.07474","0.59205","0.51076","0.24856","0.13636","0.19589","1.81657","2016","Happy"
"Iraq","Middle East and Northern Africa","117","4.4970002174377","1.1027104854584","0.9786131978035","0.50118046998978","0.28855553269386","0.10721575468779","0.19963726401329","1.3189072608948","2017","Happy"
